종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
291890,4,KODEX MSCI EM선물(H),10540,3,0,0.0,,-5.1732,384,4,32,해외 주식,KODEX,False,False,True
267500,4,KBSTAR 미국장기국채선물인버스2X(합성 H),5730,2,25,0.44,,-14.6051,2755,15,32,해외 주식,KBSTAR,True,False,True
301400,1,ARIRANG 코스닥150,15160,2,85,0.56,15311.0,8.1312,297,4,30,국내 시장지수,ARIRANG,False,False,False
252720,2,KBSTAR 모멘텀밸류,15030,2,195,1.31,15032.0,-3.808,26,0,30,국내 업종/테마,KBSTAR,False,False,False
285020,2,KBSTAR 200철강소재,9765,2,10,0.1,9781.0,-1.0137,3483,34,29,국내 업종/테마,KBSTAR,False,False,False
295000,6,KBSTAR 국채선물10년,56120,5,-20,-0.04,56093.0,2.4648,371,20,26,채권,KBSTAR,False,False,False
287330,2,KBSTAR 200생활소비재,8710,5,-15,-0.17,8700.0,-7.2418,288,2,21,국내 업종/테마,KBSTAR,False,False,False
334700,5,KBSTAR 팔라듐선물인버스(H),4810,2,35,0.73,,12.252,115,0,19,원자재,KBSTAR,True,False,True
287310,2,KBSTAR 200경기소비재,11650,2,120,1.04,11648.0,-5.8206,656,7,16,국내 업종/테마,KBSTAR,False,False,False
287320,2,KBSTAR 200산업재,13015,5,-65,-0.5,13005.0,-6.0967,166,2,16,국내 업종/테마,KBSTAR,False,False,False
